COREF	start_token	end_token	prop	cat	text	book	page
-1	170	170	PRON	PER	We	uva.x000083545	132
6	174	174	PROP	GPE	Guadalupe	uva.x000083545	132
6	185	186	PROP	FAC	Guadalupe church	uva.x000083545	132
11	191	191	PROP	PER	Pascolas	uva.x000083545	132
-1	194	194	NOM	PER	bride	uva.x000083545	132
-1	196	196	NOM	PER	groom	uva.x000083545	132
-1	2	2	PRON	PER	we	wu.89060396363	086
0	8	8	PROP	PER	Archie	wu.89060396363	086
1	16	16	PROP	PER	Miranda	wu.89060396363	086
0	21	21	PROP	PER	Archie	wu.89060396363	086
2	25	25	PROP	PER	Papati	wu.89060396363	086
0	2	2	PROP	PER	Junsdi	inu.39000000903711	049
2	0	0	PROP	PER	Mother	mdp.39015046352020	070
-1	10	11	NOM	FAC	the plaza	mdp.39015046352020	070
-1	14	15	NOM	PER	the crier	mdp.39015046352020	070
-1	23	27	NOM	PER	One of the first women	mdp.39015046352020	070
-1	25	27	NOM	PER	the first women	mdp.39015046352020	070
3	35	35	PROP	PER	Henry	mdp.39015046352020	070
-1	40	40	PRON	PER	his	mdp.39015046352020	070
0	50	50	PRON	PER	my	mdp.39015046352020	070
-1	50	51	NOM	PER	my father	mdp.39015046352020	070
1	60	60	PROP	GPE	Winslow	mdp.39015046352020	070
-1	63	63	PRON	PER	he	mdp.39015046352020	070
-1	80	80	PRON	PER	he	mdp.39015046352020	070
-1	84	84	PRON	PER	his	mdp.39015046352020	070
0	0	0	PRON	PER	I	mdp.39015046352020	084
-1	2	2	PRON	PER	they	mdp.39015046352020	084
-1	6	6	PRON	PER	they	mdp.39015046352020	084
2	9	10	PROP	PER	Mr. Lemmon	mdp.39015046352020	084
-1	17	17	PRON	PER	they	mdp.39015046352020	084
2	21	22	PROP	PER	Mr. Lemmon	mdp.39015046352020	084
-1	24	24	PRON	PER	he	mdp.39015046352020	084
3	27	27	PROP	PER	Washington	mdp.39015046352020	084
-1	34	34	PRON	PER	he	mdp.39015046352020	084
-1	37	37	PRON	PER	them	mdp.39015046352020	084
0	43	43	PRON	PER	I	mdp.39015046352020	084
0	52	52	PRON	PER	I	mdp.39015046352020	084
3	57	57	PROP	PER	Washington	mdp.39015046352020	084
0	64	64	PRON	PER	I	mdp.39015046352020	084
0	67	67	PRON	PER	I	mdp.39015046352020	084
3	70	70	PROP	GPE	Washington	mdp.39015046352020	084
4	76	77	PROP	PER	the Indians	mdp.39015046352020	084
0	80	80	PRON	PER	I	mdp.39015046352020	084
-1	1	1	PRON	PER	they	inu.39000000903711	082
-1	7	7	NOM	FAC	home	inu.39000000903711	082
-1	9	9	PRON	PER	she	inu.39000000903711	082
0	11	11	PRON	PER	me	inu.39000000903711	082
-1	19	19	PRON	PER	They	inu.39000000903711	082
-1	25	27	NOM	PER	the Dairy Queen	inu.39000000903711	082
1	29	29	PROP	GPE	Jay	inu.39000000903711	082
2	32	32	PROP	PER	Swimmer	inu.39000000903711	082
-1	35	35	PRON	PER	her	inu.39000000903711	082
-1	37	37	PRON	PER	she	inu.39000000903711	082
3	45	45	PROP	PER	Evelyn	inu.39000000903711	082
-1	52	52	PRON	PER	she	inu.39000000903711	082
-1	54	54	PRON	PER	her	inu.39000000903711	082
-1	54	55	NOM	PER	her Daddy	inu.39000000903711	082
-1	61	61	PRON	PER	she	inu.39000000903711	082
-1	69	70	NOM	VEH	the car	inu.39000000903711	082
-1	73	73	PRON	PER	they	inu.39000000903711	082
0	0	0	PROP	PER	Bear	uc1.b4102033	179
1	7	8	PROP	PER	Turtle Chief	uc1.b4102033	179
1	15	16	PROP	PER	Turtle Chief	uc1.b4102033	179
-1	19	19	PRON	PER	I	uc1.b4102033	179
-1	35	35	PRON	PER	You	uc1.b4102033	179
-1	40	40	PRON	PER	my	uc1.b4102033	179
-1	40	41	NOM	PER	my Warrior	uc1.b4102033	179
0	49	49	PROP	PER	Bear	uc1.b4102033	179
1	54	55	PROP	PER	Turtle Chief	uc1.b4102033	179
-1	64	64	PRON	PER	he	uc1.b4102033	179
2	79	80	PROP	PER	Turtle Warrior	uc1.b4102033	179
0	87	87	PROP	PER	Bear	uc1.b4102033	179
-1	3	3	PRON	PER	You	mdp.39015043788846	048
-1	6	6	PRON	PER	your	mdp.39015043788846	048
-1	6	7	NOM	PER	your pal	mdp.39015043788846	048
2	9	10	PROP	PER	Virgie JB	mdp.39015043788846	048
-1	12	12	PRON	PER	You	mdp.39015043788846	048
-1	14	21	NOM	PER	a real pretty chick with the biggest personality	mdp.39015043788846	048
-1	24	24	NOM	PER	anyone	mdp.39015043788846	048
0	26	26	PRON	PER	I	mdp.39015043788846	048
-1	28	28	PRON	PER	we	mdp.39015043788846	048
3	34	35	PROP	PER	Billie JB	mdp.39015043788846	048
-1	38	46	NOM	PER	the best rider on this side of Rio Grande	mdp.39015043788846	048
-1	42	46	NOM	LOC	this side of Rio Grande	mdp.39015043788846	048
1	45	46	PROP	GPE	Rio Grande	mdp.39015043788846	048
-1	48	48	PRON	PER	You	mdp.39015043788846	048
-1	55	56	NOM	PER	a cousin	mdp.39015043788846	048
0	58	58	PRON	PER	I	mdp.39015043788846	048
0	61	61	PRON	PER	I	mdp.39015043788846	048
-1	63	63	PRON	PER	you	mdp.39015043788846	048
-1	65	65	NOM	PER	cousin	mdp.39015043788846	048
-1	70	70	PRON	PER	You	mdp.39015043788846	048
4	78	80	PROP	PER	Winnie T. JB	mdp.39015043788846	048
-1	87	87	PRON	PER	our	mdp.39015043788846	048
5	96	96	PROP	PER	Carilene	mdp.39015043788846	048
-1	100	100	PRON	PER	You	mdp.39015043788846	048
-1	102	105	NOM	PER	a very nice friend	mdp.39015043788846	048
-1	117	117	PRON	PER	you	mdp.39015043788846	048
0	120	120	PRON	PER	me	mdp.39015043788846	048
-1	4	4	PRON	PER	she	uc1.b4102033	146
-1	8	8	PRON	PER	I	uc1.b4102033	146
0	21	25	PROP	PER	Ra - wen - io	uc1.b4102033	146
-1	28	28	PRON	PER	me	uc1.b4102033	146
-1	34	34	PRON	PER	I	uc1.b4102033	146
-1	36	36	PRON	PER	him	uc1.b4102033	146
-1	38	38	PRON	PER	I	uc1.b4102033	146
-1	40	40	PRON	PER	him	uc1.b4102033	146
-1	44	44	PRON	PER	I	uc1.b4102033	146
-1	46	46	PRON	PER	he	uc1.b4102033	146
-1	48	48	PRON	PER	me	uc1.b4102033	146
0	52	56	PROP	PER	Ra - wen - io	uc1.b4102033	146
-1	58	58	PRON	PER	he	uc1.b4102033	146
1	61	61	PROP	PER	Jennyer	uc1.b4102033	146
-1	69	69	PRON	PER	He	uc1.b4102033	146
-1	72	72	PRON	PER	her	uc1.b4102033	146
2	75	75	PROP	PER	Jenny	uc1.b4102033	146
-1	81	81	PRON	PER	your	uc1.b4102033	146
-1	87	87	PRON	PER	your	uc1.b4102033	146
-1	92	92	PRON	PER	You	uc1.b4102033	146
-1	97	97	PRON	PER	you	uc1.b4102033	146
-1	105	105	PRON	PER	you	uc1.b4102033	146
-1	113	113	PRON	PER	your	uc1.b4102033	146
-1	116	116	PRON	PER	you	uc1.b4102033	146
-1	124	124	PRON	PER	your	uc1.b4102033	146
-1	2	2	PRON	PER	we	mdp.39015053751635	085
1	7	8	PROP	PER	Doc Boyle	mdp.39015053751635	085
-1	11	11	PRON	PER	he	mdp.39015053751635	085
1	14	15	PROP	PER	Doc Boyle	mdp.39015053751635	085
-1	17	28	NOM	PER	the optometrist who had fitted me for my first pair of glasses	mdp.39015053751635	085
0	22	22	PRON	PER	me	mdp.39015053751635	085
0	24	24	PRON	PER	my	mdp.39015053751635	085
0	30	30	PRON	PER	I	mdp.39015053751635	085
-1	32	32	PRON	PER	his	mdp.39015053751635	085
-1	32	40	NOM	PER	his most regular seven - year - old customer	mdp.39015053751635	085
0	3	3	PRON	PER	I	uva.x000083545	157
-1	9	11	NOM	VEH	The passenger train	uva.x000083545	157
1	19	19	PROP	GPE	Wellton	uva.x000083545	157
2	22	22	PROP	GPE	Ligurta	uva.x000083545	157
-1	26	28	NOM	VEH	the passenger train	uva.x000083545	157
-1	32	34	NOM	FAC	the Phoenix line	uva.x000083545	157
-1	36	36	PRON	PER	we	uva.x000083545	157
-1	40	41	NOM	VEH	the truck	uva.x000083545	157
1	43	43	PROP	GPE	Wellton	uva.x000083545	157
1	8	8	PROP	PER	Bear	uc1.b4102033	112
2	18	19	PROP	PER	Flying Head	uc1.b4102033	112
-1	31	31	PRON	PER	I	uc1.b4102033	112
1	39	39	PROP	PER	Bear	uc1.b4102033	112
0	43	43	PRON	PER	I	uc1.b4102033	112
-1	0	3	NOM	PER	Those proud old men	mdp.39015053751635	228
-1	5	5	NOM	PER	women	mdp.39015053751635	228
-1	9	9	PRON	PER	their	mdp.39015053751635	228
-1	13	13	PRON	PER	their	mdp.39015053751635	228
-1	20	20	NOM	PER	everyone	mdp.39015053751635	228
-1	32	42	NOM	PER	no one who saw them would ever forget what had happened	mdp.39015053751635	228
-1	36	36	PRON	PER	them	mdp.39015053751635	228
-1	44	45	NOM	FAC	One street	mdp.39015053751635	228
1	48	49	PROP	FAC	Congress Park	mdp.39015053751635	228
-1	51	52	NOM	FAC	That park	mdp.39015053751635	228
5	64	64	PROP	PER	Abenaki	mdp.39015053751635	228
-1	66	67	NOM	PER	Mohawk people	mdp.39015053751635	228
-1	76	76	NOM	PER	some	mdp.39015053751635	228
-1	78	78	PRON	PER	them	mdp.39015053751635	228
2	84	84	PROP	GPE	Quebec	mdp.39015053751635	228
-1	93	94	NOM	PER	the tourists	mdp.39015053751635	228
0	103	103	PRON	PER	I	mdp.39015053751635	228
-1	107	107	PRON	PER	You	mdp.39015053751635	228
-1	113	113	PRON	PER	his	mdp.39015053751635	228
-1	122	122	PRON	PER	his	mdp.39015053751635	228
0	126	126	PRON	PER	I	mdp.39015053751635	228
-1	128	129	NOM	PER	a child	mdp.39015053751635	228
0	133	133	PRON	PER	my	mdp.39015053751635	228
-1	145	145	PRON	PER	our	mdp.39015053751635	228
-1	145	146	NOM	LOC	our area	mdp.39015053751635	228
0	154	154	PRON	PER	I	mdp.39015053751635	228
-1	157	161	NOM	FAC	the Saratoga Springs Public Library	mdp.39015053751635	228
3	166	166	PROP	FAC	Broadway	mdp.39015053751635	228
-1	169	175	NOM	FAC	the corner of that same Congress Park	mdp.39015053751635	228
-1	172	175	NOM	FAC	that same Congress Park	mdp.39015053751635	228
4	177	178	PROP	FAC	Congress Street	mdp.39015053751635	228
3	183	183	PROP	FAC	Broadway	mdp.39015053751635	228
-1	185	192	NOM	FAC	the side of the huge Grand Union Hotel	mdp.39015053751635	228
-1	188	192	NOM	FAC	the huge Grand Union Hotel	mdp.39015053751635	228
-1	198	211	NOM	PER	Many of the people who lived there worked for the hotels or the racetrack	mdp.39015053751635	228
-1	200	211	NOM	PER	the people who lived there worked for the hotels or the racetrack	mdp.39015053751635	228
-1	207	208	NOM	FAC	the hotels	mdp.39015053751635	228
-1	210	211	NOM	FAC	the racetrack	mdp.39015053751635	228
-1	0	4	NOM	PER	The instructors in corrective therapy	uva.x000083545	168
-1	9	16	NOM	PER	The social worker I knew at the hospital	uva.x000083545	168
0	12	12	PRON	PER	I	uva.x000083545	168
-1	15	16	NOM	FAC	the hospital	uva.x000083545	168
1	18	19	PROP	PER	Anita Stark	uva.x000083545	168
-1	21	23	NOM	PER	a Spanish lady	uva.x000083545	168
-1	25	26	NOM	PER	a Chilean	uva.x000083545	168
-1	28	29	NOM	PER	This lady	uva.x000083545	168
0	31	31	PRON	PER	me	uva.x000083545	168
0	33	33	PRON	PER	I	uva.x000083545	168
-1	37	39	NOM	FAC	a nursing home	uva.x000083545	168
-1	4	4	PRON	PER	her	mdp.39076001498182	156
0	7	8	PROP	PER	Gram Sullivan	mdp.39076001498182	156
1	0	1	PROP	PER	Harry Behn	uva.x000083545	150
-1	3	10	NOM	PER	radio operator for the University of Arizona station	uva.x000083545	150
-1	6	10	NOM	FAC	the University of Arizona station	uva.x000083545	150
-1	15	15	PRON	PER	He	uva.x000083545	150
-1	21	21	PRON	PER	our	uva.x000083545	150
-1	21	22	NOM	PER	our guest	uva.x000083545	150
2	24	24	PROP	PER	Ray	uva.x000083545	150
2	26	26	PROP	PER	Ray	uva.x000083545	150
-1	30	30	PRON	PER	he	uva.x000083545	150
3	34	34	PROP	PER	Refugio	uva.x000083545	150
0	37	37	PRON	PER	I	uva.x000083545	150
0	44	44	PRON	PER	I	uva.x000083545	150
0	49	49	PRON	PER	myself	uva.x000083545	150
0	60	60	PRON	PER	my	uva.x000083545	150
0	63	63	PRON	PER	my	uva.x000083545	150
0	7	7	PRON	PER	my	mdp.39015053751635	210
0	14	14	PRON	PER	I	mdp.39015053751635	210
-1	18	20	NOM	GPE	that blue Plymouth	mdp.39015053751635	210
-1	22	22	NOM	FAC	school	mdp.39015053751635	210
0	38	38	PRON	PER	my	mdp.39015053751635	210
-1	38	39	NOM	PER	my grandfather	mdp.39015053751635	210
-1	38	46	NOM	FAC	my grandfather 's vegetable garden near the Little House	mdp.39015053751635	210
-1	44	46	NOM	FAC	the Little House	mdp.39015053751635	210
-1	54	54	PRON	FAC	its	mdp.39015053751635	210
0	0	0	PROP	PER	David	pst.000032468786	077
-1	4	11	NOM	PER	a clerk for the Bureau of Indian Affairs	pst.000032468786	077
-1	7	11	NOM	ORG	the Bureau of Indian Affairs	pst.000032468786	077
0	18	18	PROP	PER	David	pst.000032468786	077
1	21	21	PROP	PER	Gertrude	pst.000032468786	077
-1	27	27	NOM	FAC	college	pst.000032468786	077
2	30	30	PROP	PER	Victoria	pst.000032468786	077
-1	33	33	PRON	PER	She	pst.000032468786	077
1	35	35	PROP	PER	Gertrude	pst.000032468786	077
-1	37	37	PRON	PER	she	pst.000032468786	077
-1	40	40	NOM	FAC	home	pst.000032468786	077
-1	45	45	PRON	PER	she	pst.000032468786	077
-1	51	51	PRON	PER	she	pst.000032468786	077
-1	0	4	NOM	PER	The People of the Valley	mdp.39076001498182	169
-1	3	4	NOM	LOC	the Valley	mdp.39076001498182	169
-1	11	11	PRON	PER	their	mdp.39076001498182	169
-1	16	16	PRON	PER	their	mdp.39076001498182	169
3	34	35	PROP	PER	Chief Grizzly	mdp.39076001498182	169
4	38	38	PROP	PER	Gram	mdp.39076001498182	169
-1	42	47	NOM	LOC	a world beyond the Kootenay Valley	mdp.39076001498182	169
1	45	47	PROP	LOC	the Kootenay Valley	mdp.39076001498182	169
0	49	49	PRON	PER	I	mdp.39076001498182	169
-1	52	52	PRON	PER	she	mdp.39076001498182	169
-1	58	58	PRON	PER	her	mdp.39076001498182	169
-1	58	59	NOM	PER	her father	mdp.39076001498182	169
-1	65	65	PRON	PER	he	mdp.39076001498182	169
-1	70	70	PRON	PER	his	mdp.39076001498182	169
-1	70	71	NOM	PER	his family	mdp.39076001498182	169
0	75	75	PRON	PER	I	mdp.39076001498182	169
-1	80	80	PRON	PER	she	mdp.39076001498182	169
2	84	84	PROP	GPE	Chicago	mdp.39076001498182	169
-1	94	98	NOM	PER	a person from the Northwest	mdp.39076001498182	169
-1	97	98	NOM	LOC	the Northwest	mdp.39076001498182	169
-1	109	111	NOM	FAC	the Newberry Library	mdp.39076001498182	169
0	1	1	PRON	PER	my	pst.000032468786	083
0	3	3	PRON	PER	I	pst.000032468786	083
0	5	5	PRON	PER	my	pst.000032468786	083
-1	5	6	NOM	PER	my mother	pst.000032468786	083
-1	10	12	NOM	LOC	the Western plains	pst.000032468786	083
-1	15	15	PRON	PER	she	pst.000032468786	083
0	19	19	PRON	PER	me	pst.000032468786	083
3	26	26	PROP	PER	Gertrude	pst.000032468786	083
-1	30	37	NOM	PER	Earlham students who had not gone to Indianapolis	pst.000032468786	083
1	37	37	PROP	GPE	Indianapolis	pst.000032468786	083
-1	40	40	PRON	PER	they	pst.000032468786	083
-1	43	44	NOM	FAC	the campus	pst.000032468786	083
2	59	60	PROP	FAC	Earlham Hall	pst.000032468786	083
-1	64	64	PRON	FAC	its	pst.000032468786	083
-1	68	70	NOM	FAC	the student parlor	pst.000032468786	083
0	0	0	PRON	PER	My	mdp.39076001498182	160
